"key","message","comment","context"
"${fullName} plan. st. move","${fullName} mv. stock planificado",,
"${product.fullName} plan. st. move","${product.fullName} mv. stock planificado",,
"${product.fullName} real st. move","${product.fullName} mv. stock realizado",,
"${product.fullName} reserved","${product.fullName} asignado",,
"%d order invoiced successfully,","%d pedido facturado con éxito,",,
"%d orders invoiced successfully,","%d pedidos facturados con éxito,",,
"%d outgoing stock move processed successfully,","%d albarán de entrega procesado con éxito,",,
"%d outgoing stock moves processed successfully,","%d albaranes de entrega procesados con éxito,",,
"%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).","%s : La generación del pago anticipado ha fallado. Por favor, configure los datos bancarios de la empresa %s y el modo de pago asociado %s ya sea en el modo de pago o en el registro del pedido de venta %s (campo oculto).",,
"%s blocked : maximal accepted credit exceeded for %s.","%s bloqueado: crédito máximo aceptado superado para %s.",,
"%s please configure a virtual supplier stock location for the company %s","%s configure una ubicación de stock de proveedor virtual para la empresa %s",,
"%s purchase order","%s en pedido de compra",,
"%s requested reserved","%s solicitado en reserva",,
"%s sale order","%s en pedido de venta",,
"%s stock location","%s en ubicación de stock",,
"A list of all product categories for which to run the batch (children categories are automatically included). All products will be processed if this list is left empty (note that the batch may take a long time to run if you have a lot of products).","Una lista de todas las categorías de productos para las que ejecutar el proceso en masa (las subcategorías se incluyen automáticamente). Se procesarán todos los productos si esta lista se deja vacía (tenga en cuenta que el proceso puede tardar mucho tiempo si tiene muchos productos).",,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","Una lista de líneas de pedido de venta que se procesarán. Las líneas que se pueden seleccionar son las que cumplen las siguientes condiciones:\nEl producto es almacenable\nEl producto se gestiona en stock\nEl producto no está excluido del MRP\nEl pedido/cotización tiene la misma ubicación de stock o una sububicación\nSi MPS, el producto debe ser un producto terminado\nLa cantidad entregada de la línea debe ser inferior a la cantidad total\nLa línea debe ajustarse a uno o varios tipos de movimiento MRP",,
"A supplier partner must be selected","Se debe seleccionar un proveedor",,
"ADR","ADR",,
"Accepted Credit","Crédito aceptado",,
"Account configuration","Configuración de cuenta",,
"Accounting Batch","Proceso contable",,
"Accounting Family Dashboard","Panel familia contable",,
"Accounting Family sale turnover (Excl. Tax) per month","Facturación por familia contable (Sin impuestos) por mes",,
"Accounting cut off generation report :","Informe de generación de corte contable:",,
"Action","Acción",,
"Actions","Acciones",,
"Activate partial invoicing for incoming moves","Activar facturación parcial para recepciones",,
"Activate partial invoicing for outgoing moves","Activar facturación parcial para entregas",,
"Add child packaging","Añadir subembalaje",,
"Add packaging lines","Añadir líneas de embalaje",,
"Add packaging lines from selected stock move lines","Añadir líneas de embalaje desde las líneas de movimiento de stock seleccionadas",,
"Add stock move lines","Añadir líneas de movimiento de stock",,
"Add to cart","Añadir al carrito",,
"All invoices have been generated for this sale order.","Todas las facturas han sido generadas para este pedido de venta.",,
"Allocated Qty","Cantidad asignada",,
"Allocated qty","Cantidad asignada",,
"Allow Subscriptions for Sale orders","Permitir suscripciones para pedidos de venta",,
"Allow complete manually sale order","Permitir completar manualmente el pedido de venta",,
"Allow finish manually purchase order","Permitir finalizar manualmente el pedido de compra",,
"Allow timetable invoicing","Permitir facturación por calendario",,
"Amount","Importe",,
"Amount invoiced W.T.","Importe facturado Sin impuestos",,
"Amount not invoiced","Importe no facturado",,
"Amount remaining to use","Importe restante a utilizar",,
"Amount to invoice","Importe a facturar",,
"An active stock move (%s) already exists for the sale order %s.","Ya existe un movimiento de stock activo (%s) para el pedido de venta %s.",,
"An error have been detected on following pricings : %s.","Se ha detectado un error en las siguientes tarifas: %s.",,
"An invoice at status draft or validated is linked to the stock move %s. Please contact the invoicing/accounting department before any changes.","Una factura en estado borrador o validado está vinculada al movimiento de stock %s. Por favor contacte con el departamento de facturación/contabilidad antes de realizar cambios.",,
"An invoice not canceled already exists for the incoming stock move %s","Ya existe una factura no cancelada para la recepción %s",,
"An invoice not canceled already exists for the outgoing stock move %s","Ya existe una factura no cancelada para el albarán de entrega %s",,
"Analytic Move Line","Línea de movimiento analítico",,
"Analytic distribution lines","Líneas de distribución analítica",,
"Analytic distribution template","Plantilla de distribución analítica",,
"Analytic move line","Línea de movimiento analítico",,
"Analytic move lines","Líneas de movimiento analítico",,
"Analytics","Analítica",,
"App","Aplicación",,
"App Supplychain","App Cadena de suministro",,
"App supplychain","App cadena de suministro",,
"Archived","Archivado",,
"Are you sure you want to change status to ""Collected"" ?","¿Está seguro de que desea cambiar el estado a ""Recogido"" ?",,
"Are you sure you want to run the calculation ? Calculation can take a long time.","¿Está seguro de que desea ejecutar el cálculo? El cálculo puede tardar mucho tiempo.",,
"Associated estimated delivery mrp line","Línea MRP de entrega estimada asociada",,
"At least one sale order line must be selected","Se debe seleccionar al menos una línea de pedido de venta",,
"At least one stock move is in litigation, do you really want to validate passed for payment ?","Al menos un movimiento de stock está en litigio. ¿Realmente desea validar el pase al pago?",,
"At least one stock move line must be selected.","Se debe seleccionar al menos una línea de movimiento de stock.",,
"Auto allocate during an availability request","Asignar automáticamente durante una solicitud de disponibilidad",,
"Auto allocate stock on other stock moves","Asignar automáticamente el stock en otros movimientos de stock",,
"Auto allocate stock on receipt","Asignar automáticamente el stock al recibir",,
"Auto fill delivery real quantity","Rellenar automáticamente la cantidad real de entregas",,
"Auto fill receipt real quantity","Rellenar automáticamente la cantidad real de recepciones",,
"Auto request reserved qty","Solicitar automáticamente la cantidad reservada",,
"Availability","Disponibilidad",,
"Availability mean time","Tiempo medio de disponibilidad",,
"Availability requests","Solicitudes de disponibilidad",,
"Available","Disponible",,
"Available status","Estado de disponibilidad",,
"Available stock","Stock disponible",,
"Average product availability time in working days","Tiempo medio de disponibilidad del producto en días laborables",,
"Average product delivery time in working days","Tiempo medio de entrega del producto en días laborables",,
"Batch update stock history :","Actualización masiva del historial de stock:",,
"Batches","Procesos en masa",,
"Batchs","Procesos en masa",,
"Block deallocation on availability request","Bloquear la desasignación en solicitudes de disponibilidad",,
"Block delivery","Bloquear entrega",,
"Blocked by","Bloqueado por",,
"Blocked until","Bloqueado hasta",,
"Blocking comment for delivery","Comentario de bloqueo de entrega",,
"Blocking delivery reason","Motivo de bloqueo de entrega",,
"Blocking delivery until","Bloquear entrega hasta",,
"Blocking reason","Motivo de bloqueo",,
"Blockings","Bloqueos",,
