"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","No se pudo eliminar %d extracto bancario, por favor consulte los registros.",,
"%d errors occurred. Please check tracebacks for details.","%d errores se han producido. Por favor, consulte los registros de errores para más detalles.",,
"%d line successfully rejected","%d línea rechazada correctamente",,
"%d lines successfully rejected","%d líneas rechazadas correctamente",,
"%s : Bank statement line %s amount can't be null","%s : El importe de la línea del extracto bancario %s no puede ser nulo",,
"%s : Computed balance and Ending Balance must be equal","%s : El saldo calculado y el saldo final deben ser iguales",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : El importe de la línea de asiento no es igual al de la línea del extracto bancario %s",,
"%s : Please configure an ICS number for the company %s.","%s : Por favor, configure un número ICS para la empresa %s.",,
"%s : Please, configure a default signer for the company %s","%s : Por favor, configure un firmante predeterminado para la empresa %s",,
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s : Por favor, configure una secuencia para la letra de cambio y la empresa %s",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : Por favor, configure una secuencia para las transferencias de crédito internacionales y la empresa %s",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : Por favor, configure una secuencia para las domiciliaciones bancarias internacionales y la empresa %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : Por favor, configure una secuencia para las transferencias de tesorería internacionales y la empresa %s",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : Por favor, configure una secuencia para las transferencias de tesorería nacionales y la empresa %s",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : Por favor, configure una secuencia para las otras órdenes bancarias y la empresa %s",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : Por favor, configure una secuencia para las transferencias de crédito SEPA y la empresa %s",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : Por favor, configure una secuencia para las domiciliaciones bancarias SEPA y la empresa %s",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : Por favor, configure una cuenta contable para la orden bancaria de transferencia bancaria externa para la empresa %s",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : Por favor, configure una cuenta contable para la orden bancaria de transferencia bancaria interna para la empresa %s",,
"%s : You must configure bank payment's information for the company %s","%s : Debe configurar la información de pagos bancarios para la empresa %s",,
"10 - Bank details IBAN","10 - IBAN de datos bancarios",,
"10 - Sender bank details type","10 - Tipo de datos bancarios del emisor",,
"10 - Sequence","10 - Secuencia",,
"11 - Bank details code","11 - Código de datos bancarios",,
"11 - Sender bank details IBAN","11 - IBAN de datos bancarios del emisor",,
