"key","message","comment","context"
"Additional Partner/Contacts","Terceros/Contactos adicionales",,
"Additional leads","Clientes potenciales adicionales",,
"Allow the editing of the targets","Permitir la edición de los objetivos",,
"An event will be generated by target, are you sure you want to continue ?","Se generará un evento por objetivo, ¿está seguro de que desea continuar?",,
"Assign to","Asignar a",,
"Assigned to","Asignado a",,
"Attendee","Participante",,
"Attendees","Participantes",,
"Batchs","Procesamientos masivos",,
"Both","Ambos",,
"Campaign","Campaña",,
"Campaign Type","Tipo de campaña",,
"Campaign reminders","Recordatorios de campaña",,
"Campaign type","Tipo de campaña",,
"Campaign types","Tipos de campaña",,
"Campaigns","Campañas",,
"Cancel","Cancelar",,
"Cannot generate targets. Please check lead filter of Target Model.","No se pueden generar objetivos. Por favor, verifique el filtro de cliente potencial del modelo de objetivo.",,
"Cannot generate targets. Please check partner filter of Target Model.","No se pueden generar objetivos. Por favor, verifique el filtro de tercero del modelo de objetivo.",,
"Clear Selection","Limpiar selección",,
"Configuration","Configuración",,
"Contact","Contacto",,
"Contact/Partner reminder template","Plantilla de recordatorio de contacto/tercero",,
"Contact/Partners template","Plantilla de contacto/terceros",,
"Days","Días",,
"Description","Descripción",,
"Draft","Borrador",,
"Duration","Duración",,
"Duration type","Tipo de duración",,
"Email","Email",,
"Email Account","Cuenta de email",,
"Email sending log","Registro de envío de email",,
"Emailing","Campaña de correo",,
"Emailing report","Informe de campaña de correo",,
"Emails sent successfully","Emails enviados correctamente",,
"End","Finalizar",,
"End date time","Fecha y hora de fin",,
"Ended","Finalizado",,
"Enrolled","Inscritos",,
"Error in sending an email to the following targets","Error al enviar un email a los siguientes objetivos",,
"Error in sending emails. Please check the log file generated.","Error al enviar emails. Por favor, verifique el archivo de registro generado.",,
"Event Type","Tipo de evento",,
"Event end","Fin del evento",,
"Event start","Inicio del evento",,
"Event type","Tipo de evento",,
"Events","Eventos",,
"Filter","Filtro",,
"Filters","Filtros",,
"Fiscal position","Posición fiscal",,
"Generate Events","Generar eventos",,
"Generate Targets","Generar objetivos",,
"Generate event to the team and salesperson in charge of the partner/leads","Generar evento para el equipo y vendedor a cargo del tercero/clientes potenciales",,
"Generated emails","Emails generados",,
"Guided","Guiado",,
"Hours","Horas",,
"Information","Información",,
"Invite all targets","Invitar todos los objetivos",,
"Invite selected targets","Invitar los objetivos seleccionados",,
"Invited","Invitados",,
"Launch emailing","Lanzar campaña de correo",,
"Lead","Cliente potencial",,
"Lead Query","Consulta de clientes potenciales",,
"Lead filters","Filtros de clientes potenciales",,
"Lead reminder template","Plantilla de recordatorio de cliente potencial",,
"Leads","Clientes potenciales",,
"Leads Target List","Lista de objetivos de clientes potenciales",,
"Leads template","Plantilla de clientes potenciales",,
"Manage an event per target","Gestionar un evento por objetivo",,
"Manage attendees","Gestionar participantes",,
"Manual","Manual",,
"Marketing","Marketing",,
"Marketing Campaigns","Campañas de marketing",,
"Minutes","Minutos",,
"Name","Nombre",,
"Not participating","No participa",,
"Open filtered leads","Abrir clientes potenciales filtrados",,
"Open filtered partners","Abrir terceros filtrados",,
"Open planned events","Abrir eventos planificados",,
"Participate","Participar",,
"Partner","Tercero",,
"Partner Query","Consulta de terceros",,
"Partner filters","Filtros de terceros",,
"Partner/Contacts Target List","Lista de objetivos de terceros/contactos",,
"Partners","Terceros",,
"Past events","Eventos pasados",,
"Plan","Planificar",,
"Planned","Planificado",,
"Planned events","Eventos planificados",,
"Please add atleast one invited Partner or Lead.","Por favor, añada al menos un tercero o cliente potencial invitado.",,
"Please select at least one template","Por favor, seleccione al menos una plantilla",,
"Please select target","Seleccione un objetivo",,
"Presence","Presencia",,
"Present at the event","Presente en el evento",,
"Related to","Relacionado con",,
"Related to select","Relacionado con selección",,
"Reminded","Recordado",,
"Reminders","Recordatorios",,
"Report","Informe",,
"Results","Resultados",,
"Select Query type","Seleccionar tipo de consulta",,
"Select target field","Seleccionar campo objetivo",,
"Select type","Seleccionar tipo",,
"Send a reminder","Enviar un recordatorio",,
"Sequence","Secuencia",,
"Stage","Etapa",,
"Start","Iniciar",,
"Start date time","Fecha y hora de inicio",,
"Started","Iniciado",,
"Subject","Asunto",,
"Suspend","Suspender",,
"Suspended","Suspendido",,
"Target List","Lista de objetivos",,
"Target Model","Modelo de objetivo",,
"Target list","Lista de objetivos",,
"Target lists","Listas de objetivos",,
"Targets","Objetivos",,
"Targets to contact","Objetivos a contactar",,
"Team","Equipo",,
"Template","Plantilla",,
"Tools","Herramientas",,
"Type","Tipo",,
"Weeks","Semanas",,
"value:Marketing Management","Marketing",,
