"key","message","comment","context"
"%s : You must configure Project module for company %s","%s : Debe configurar el módulo de Proyecto para la empresa %s",,
"%s project","Proyecto %s",,
"%s sprints have been generated","Se han generado %s sprints",,
"* %s project task updated","* %s tarea(s) de proyecto actualizada(s)",,
"0 %","0 %",,
"10 %","10 %",,
"100 %","100 %",,
"20 %","20 %",,
"30 %","30 %",,
"40 %","40 %",,
"50 %","50 %",,
"60 %","60 %",,
"70 %","70 %",,
"80 %","80 %",,
"90 %","90 %",,
"<< Previous","<< Anterior",,
"<br/>Example:<br/>Start unit : day<br/>End unit : hour<br/><strong>$Project.numberHoursADay$</strong><br/>","<br/>Ejemplo:<br/>Unidad inicio : día<br/>Unidad fin : hora<br/><strong>$Project.numberHoursADay$</strong><br/>",,
"Action","Acción",,
"Actions","Acciones",,
"Activate a field on a project task where you can record the task progress in %.","Activa un campo en una tarea de proyecto donde se puede registrar el avance de la tarea en %.",,
"Activate a panel tab, within a project-task-form related to the project, allowing to replicate a task following a date frequency defined by the user.","Activa una pestaña en el formulario de tarea de proyecto, que permite replicar una tarea según una frecuencia de fechas definida por el usuario.",,
"Activates a Kanban view with tasks of the project categorized by category, accessible via the Tools menu.","Activa una vista Kanban del proyecto con las tareas clasificadas por categoría, accesible desde el menú Herramientas.",,
"Activates a Kanban view with tasks of the project categorized by status, accessible via the Tools menu.","Activa una vista Kanban del proyecto con las tareas clasificadas por estado, accesible desde el menú Herramientas.",,
"Activates a Planification tab on the project-task-form allowing to record planned times on tasks, in order to compare with actual spent time.","Activa una pestaña de Planificación en el formulario de tarea de proyecto para registrar los tiempos planificados en las tareas y compararlos con el tiempo real empleado.",,
"Activates a calendar view with tasks of the project categorized by category, accessible via the Tools menu.","Activa una vista de calendario del proyecto con las tareas clasificadas por categoría, accesible desde el menú Herramientas.",,
"Activates a calendar view with tasks of the project categorized by status, accessible via the Tools menu.","Activa una vista de calendario del proyecto con las tareas clasificadas por estado, accesible desde el menú Herramientas.",,
"Activates a calendar view with tasks of the project categorized by user, accessible via the Tools menu.","Activa una vista de calendario del proyecto con las tareas clasificadas por usuario, accesible desde el menú Herramientas.",,
"Activates a gantt view of the project accessible via the Tools menu.","Activa una vista Gantt del proyecto, accesible desde el menú Herramientas.",,
"Active project","Proyecto activo",,
"Active project changed to %s","Proyecto activo cambiado a %s",,
"Active sprint","Sprint activo",,
"Activities","Actividades",,
"Activity","Actividad",,
"Add a new check list item","Agregar un nuevo elemento de lista de verificación",,
"Add a new item","Agregar un nuevo elemento",,
"Add status","Agregar estado",,
"Add sub tasks","Agregar subtareas",,
"All","Todos",,
"All my observed tasks","Todas mis tareas observadas",,
"All my tasks","Todas mis tareas",,
"All open tasks","Todas las tareas abiertas",,
"All sprints","Todos los sprints",,
"All tasks","Todas las tareas",,
"All tasks (tree)","Todas las tareas (árbol)",,
"All tasks assigned to others","Todas las tareas asignadas a otros",,
"Allocated","Asignado",,
"Allocation period","Período de asignación",,
"Allow task to be assigned to any user?","¿Permitir asignar tareas a cualquier usuario?",,
"Allow to allocate Time spent from the project-task-form. A readonly logtimes paneltab will also appear on the related project-form. Note: if you use the HR timesheets, these log times will allocate HR Timesheet for the concerned colleague.","Permite registrar tiempos empleados directamente desde la vista de tarea. También aparece una pestaña de resumen (solo lectura) en el formulario de proyecto. Nota: si utiliza los registros de horas de RR.HH., los tiempos registrados alimentarán directamente las hojas de tiempo del módulo de RR.HH. para los colaboradores correspondientes.",,
"Allow to open discussion topic, where project members can interact, accessible via the the Tools menu.","Permite abrir temas de discusión donde los miembros del proyecto pueden interactuar, accesible desde el menú Herramientas.",,
"Allows defining a default site that will be linked to projects.","Permite definir un sitio predeterminado que se vinculará a los proyectos.",,
"App","Aplicación",,
"App base","App base",,
"App customized fields","Campos personalizados de la app proyecto",,
"App json","App json",,
"App project","App Proyecto",,
"Apply modifications to next tasks","Aplicar modificaciones a las siguientes tareas",,
"Are you sure you want to delete this task ?","¿Está seguro de que desea eliminar esta tarea?",,
"Assign the task to a user.The user has to be created beforehand and recorded as a member of the selected project (in the membersPanelTab of the project).","Asignar la tarea a un usuario. El usuario debe haberse creado previamente y estar registrado como miembro del proyecto seleccionado (en la pestaña Miembros del proyecto).",,
"Assigned to","Asignado a",,
"AssignedTo","Asignado a",,
"Attrs","Atributos",,
"Backlog sprint","Sprint backlog",,
"Batches","Lotes",,
"Batchs","Lotes",,
"Book resource","Reservar recurso",,
"Budgeted time","Tiempo presupuestado",,
"Business project","Proyecto de negocio",,
"By enabling this option you will be able to manage task statuses by task category. You will thus be able to have different statuses on your tasks depending on their category.","Al activar esta opción podrá gestionar los estados de las tareas por categoría de tarea. Así podrá tener diferentes estados en sus tareas según su categoría.",,
"Calendar","Calendario",,
"Cancel","Cancelar",,
"Canceled project status","Estado de proyecto cancelado",,
"Categories?","¿Categorías?",,
"Category","Categoría",,
"Category customized fields","Campos personalizados de la categoría",,
"Category json","Category json",,
"Characteristics","Características",,
"Check availability of resources","Verificar disponibilidad de recursos",,
"Check list","Lista de verificación",,
"Check list item","Elemento de lista de verificación",,
"Check list template","Plantilla de lista de verificación",,
"Check list templates","Plantillas de lista de verificación",,
"Close topic","Cerrar tema",,
"Closed","Cerrado",,
"Code","Código",,
"Company","Empresa",,
"Company for which the configurations are set.","Empresa para la cual se realizan las configuraciones.",,
"Completed","Completado",,
"Completed ?","¿Completado?",,
"Completed project status","Estado de proyecto completado",,
"Completed task status","Estado de tarea completada",,
"Configuration","Configuración",,
"Configurations","Configuraciones",,
"Content","Contenido",,
"Create project from this template","Crear proyecto desde esta plantilla",,
"Created by","Creado por",,
"Created on","Creado el",,
"Currency","Moneda",,
"Custom field","Campo personalizado",,
"Custom fields","Campos personalizados",,
"Custom fields management","Gestión de campos personalizados",,
"Customer","Cliente",,
"Customer Contact","Contacto del cliente",,
"Customized","Personalizado",,
"Customized fields","Campos personalizados",,
"Daily planned charge in a month in an average per employee","Carga diaria planificada en un mes como promedio por empleado",,
"Daily planned charge in a month per employee","Carga diaria planificada en un mes por empleado",,
"Daily planned charge in a month per project","Carga diaria planificada en un mes por proyecto",,
"Dashboard","Panel de control",,
"Date","Fecha",,
"Date or frequency changed","Fecha o frecuencia modificada",,
"Deadline","Fecha límite",,
"Deadline Today","Fecha límite hoy",,
"Deadline Tomorrow","Fecha límite mañana",,
"Deadline Yesterday","Fecha límite ayer",,
"Decimal","Decimal",,
"Default priorities","Prioridades predeterminadas",,
"Default progress","Avance predeterminado",,
"Default sites","Sitios predeterminados",,
"Default task status","Estado predeterminado de tarea",,
"Delay to start (Hours)","Retraso para iniciar (horas)",,
"Delete","Eliminar",,
"Description","Descripción",,
"Details","Detalles",,
"Due Date","Fecha de vencimiento",,
"Duration (Hours)","Duración (horas)",,
"Duration hours","Duración (horas)",,
"Employee","Empleado",,
"Empty opposite project task link type","Vaciar el tipo de enlace de tarea opuesto",,
"Empty the opposite link type","Vaciar el tipo opuesto",,
"Enable Gantt view","Activar vista Gantt",,
"Enable Kanban view per category","Activar vista Kanban por categoría",,
"Enable Kanban view per status","Activar vista Kanban por estado",,
"Enable calendar view per category","Activar vista de calendario por categoría",,
"Enable calendar view per status","Activar vista de calendario por estado",,
"Enable calendar view per user","Activar vista de calendario por usuario",,
"Enable per project task sequence","Activar secuencia por tarea de proyecto",,
"Enable site management for project","Activar gestión de sitios para proyectos",,
"Enable status management by task category","Activar gestión de estados por categoría de tarea",,
"Enable status progress by category.","Activar avance automático por categoría",,
"Enable task progress by status","Activar avance de tareas por estado",,
"End date","Fecha de fin",,
"Estimated time","Tiempo estimado",,
"Estimated time (in hours)","Tiempo estimado (en horas)",,
"Extends members from parent","Heredar miembros del proyecto padre",,
"Favourite project users","Usuarios con el proyecto como favorito",,
"Favourite projects","Proyectos favoritos",,
"Finish","Finalizar",,
"Finish tasks to finish","Finalizar las tareas para terminar",,
"Finish tasks to start","Finalizar las tareas para comenzar",,
"First","Primero",,
"Folder","Carpeta",,
"Follow-up","Seguimiento",,
"Followers","Seguidores",,
"Frequency","Frecuencia",,
"Frequency end date cannot be before task date.","La fecha de fin de la frecuencia no puede ser anterior a la fecha de la tarea.",,
"From","De",,
"From Date","Desde la fecha",,
"From date","Desde fecha",,
"Full name could not be computed, please check the groovy formula.","No se pudo calcular el nombre completo, por favor verifique la fórmula groovy.",,
"Full name groovy formula","Fórmula groovy del nombre completo",,
"Gantt","Gantt",,
"Gantt with project","Gantt por proyecto",,
"Gantt with user","Gantt por usuario",,
"Gen proj type per order line","Tipo de elemento generado por línea de pedido",,
"General configuration","Configuración general",,
"Generate","Generar",,
"Generate a backlog sprint","Generar un sprint backlog",,
"Generate a new link","Generar un nuevo enlace",,
"Generate a project task link type","Generar un nuevo tipo de enlace de tarea",,
"Generate check list","Generar lista de verificación",,
"Generate new opposite link type","Generar nuevo tipo opuesto",,
"Generate opposite link type","Generar tipo opuesto",,
"Generate project configurations","Generar configuraciones de proyectos",,
"Generate sequence for project","Generar secuencia para proyectos",,
"Generate sprints","Generar sprints",,
"Generated project","Proyecto generado",,
"High","Alto",,
"If this configuration is enabled, when reserving a resource, a check of its availability at the requested time slot will be performed.","Si esta configuración está activada, al reservar un recurso se verificará su disponibilidad en el horario solicitado.",,
"Image","Imagen",,
"Import all members","Importar todos los miembros",,
"Imputable","Imputable",,
"In production","En producción",,
"In progress","En curso",,
"In test","En pruebas",,
"Include sub projects","Incluir subproyectos",,
"Information","Información",,
"Integer","Entero",,
"Invalid date","Fecha inválida",,
"Invalid model name","Nombre de modelo inválido",,
"Invalid selection name","Nombre de selección inválido",,
"Invoicing unit","Unidad de facturación",,
"Is unique task for multiple quantity","Es tarea única para múltiples cantidades",,
"Items","Elementos",,
"Last status","Último estado",,
"Last updated on","Última actualización el",,
"Link type","Tipo de enlace",,
"List btn","Botón lista",,
"Log Times","Tiempos registrados",,
"Log time","Tiempo registrado",,
"Low","Bajo",,
"Manage by category","Gestionar por categoría",,
"Manage by project","Gestionar por proyecto",,
"Manage opposite link type","Gestionar tipo de enlace opuesto",,
"Manage relations","Gestionar relaciones",,
"Manage sprints","Gestionar sprints",,
"Members","Miembros",,
"Membres","Miembros",,
"Message","Mensaje",,
"MultiSelect","Selección múltiple",,
"My observed tasks","Mis tareas observadas",,
"My open tasks","Mis tareas abiertas",,
"My project","Mi proyecto",,
"My projects","Mis proyectos",,
"My tasks","Mis tareas",,
"My tasks due","Mis tareas vencidas",,
"My tasks to do","Mis tareas por hacer",,
"My today planning","Mi planificación de hoy",,
"My topics","Mis temas",,
"My upcoming planning","Mi próxima planificación",,
"Name","Nombre",,
"New line","Nueva línea",,
"New topics","Nuevo tema",,
"Next >>","Siguiente >>",,
"Next project sequence","Siguiente secuencia de proyecto",,
"Next task","Siguiente tarea",,
"No data to display","Sin datos para mostrar",,
"No status management","Sin gestión de estados",,
"None","Ninguno",,
"Normal","Normal",,
"Not specified","No especificado",,
"Notes","Notas",,
"Number of days in a sprint","Número de días en un sprint",,
"Number of hours in a day","Número de horas por día",,
"Old budgeted time","Tiempo presupuestado anterior",,
"Old sprint","Sprint anterior",,
"On hold","En espera",,
"Only root level project check list items can have children.","Solo los elementos de lista de verificación de nivel raíz del proyecto pueden tener elementos secundarios.",,
"Open","Abrir",,
"Open gantt","Abrir Gantt",,
"Open projects tree","Abrir árbol de proyectos",,
"Open task btn","Botón abrir tarea",,
"Open tasks list","Abrir lista de tareas",,
"Opposite link type","Tipo de enlace opuesto",,
"Opposite project task link type","Tipo de enlace de tarea de proyecto opuesto",,
"Order by state","Ordenar por estado",,
"Other customized fields","Otros campos personalizados",,
"Overview","Vista general",,
"Parent","Padre",,
"Parent project","Proyecto padre",,
"Parent task","Tarea padre",,
"Per category calendar","Calendario por categoría",,
"Per category kanban","Kanban por categoría",,
"Per status calendar","Calendario por estado",,
"Per status kanban","Kanban por estado",,
"Per user calendar","Calendario por usuario",,
"Period","Período",,
"Phase by line","Fase por línea",,
"Planned Time Planning","Planificación de tiempos planificados",,
"Planned charge","Carga planificada",,
"Planned progress","Avance planificado",,
"Planned time","Tiempo planificado",,
"Please check the compute full name groovy formula in project app configuration","Verifique la fórmula groovy del nombre completo en la configuración de la app de proyecto",,
"Please configure the completed task status in the project config panel.","Configure el estado de tarea completada en el panel de configuración del proyecto.",,
"Please configure the completed task status of the project task category.","Configure el estado de tarea completada en la categoría de tarea del proyecto.",,
"Please configure the project %s with project task link type %s if you want to create this link.","Configure el proyecto %s con el tipo de enlace de tarea %s si desea crear este enlace.",,
"Please fill all dates and the number of days in a sprint with valid values.","Complete todas las fechas y el número de días en un sprint con valores válidos.",,
"Please fill canceled project status in App Project configuration.","Complete el estado de proyecto cancelado en la configuración de la App Proyecto.",,
"Please fill completed task status in Project configuration.","Complete el estado de tarea completada en la configuración del proyecto.",,
"Please fill in task date.","Complete la fecha de la tarea.",,
"Please fill in the default completion status in the Project app settings.","Complete el estado de finalización predeterminado en la configuración de la App Proyecto.",,
"Please select project","Seleccione un proyecto",,
"Please select user","Seleccione un usuario",,
"Please set the completed paid project status in the project configuration.","Configure el estado de proyecto completado y pagado en la configuración del proyecto.",,
"Please set the completed project status in the project configuration.","Configure el estado de proyecto completado en la configuración del proyecto.",,
"Please set the default number of hours per day in the project configuration.","Configure el número predeterminado de horas por día en la configuración del proyecto.",,
"Please set the unit for the project %s.","Configure la unidad para el proyecto %s.",,
"Please set the unit for the task %s.","Configure la unidad para la tarea %s.",,
"Predecessors tasks","Tareas predecesoras",,
"Preferences","Preferencias",,
"Priorities?","¿Prioridades?",,
"Priority","Prioridad",,
"Product","Producto",,
"Production server date","Fecha de puesta en producción",,
"Progress","Avance",,
"Progress by task status","Avance por estado de tarea",,
"Project","Proyecto",,
"Project %s","Proyecto %s",,
"Project Activities","Actividades del proyecto",,
"Project Activity","Actividad del proyecto",,
"Project Calendar","Calendario del proyecto",,
"Project Dashboard","Panel de control del proyecto",,
"Project Gantt","Gantt del proyecto",,
"Project Label","Etiqueta del proyecto",,
"Project Phase","Fase del proyecto",,
"Project Priority","Prioridad del proyecto",,
"Project Task","Tarea del proyecto",,
"Project Task Category","Categoría de tarea del proyecto",,
"Project Task Tree","Árbol de tareas del proyecto",,
"Project Tasks","Tareas del proyecto",,
"Project allocation lines","Líneas de asignación del proyecto",,
"Project alone","Proyecto solo",,
"Project and project task must not be chosen together.","El proyecto y la tarea del proyecto no pueden seleccionarse juntos.",,
"Project batch","Lote de proyecto",,
"Project batches","Lotes de proyecto",,
"Project check list item has been successfully updated.","El elemento de lista de verificación del proyecto se actualizó correctamente.",,
"Project check list item list","Lista de elementos de lista de verificación",,
"Project check list template","Plantilla de lista de verificación del proyecto",,
"Project code is already used. Please provide unique code","El código del proyecto ya está en uso. Por favor proporcione un código único.",,
"Project config","Config. Proyecto",,
"Project configurations","Configuraciones del proyecto",,
"Project customized fields","Campos personalizados del proyecto",,
"Project dashboard","Panel de control del proyecto",,
"Project fields","Campos del proyecto",,
"Project filters","Filtros del proyecto",,
"Project json","Project json",,
"Project management","Gestión de proyectos",,
"Project planning tasks","Tareas de planificación del proyecto",,
"Project status","Estado del proyecto",,
"Project status management","Gestión del estado del proyecto",,
"Project structure","Estructura del proyecto",,
"Project task","Tarea del proyecto",,
"Project task category","Categoría de tarea del proyecto",,
"Project task category %s","Categoría de tarea del proyecto %s",,
"Project task category filters","Filtros de categoría de tarea del proyecto",,
"Project task filters","Filtros de tarea del proyecto",,
"Project task link","Enlace de tarea del proyecto",,
"Project task link type","Tipo de enlace de tarea del proyecto",,
"Project task linked","Tarea de proyecto vinculada",,
"Project task list","Lista de tareas del proyecto",,
"Project task relation","Relación de tarea del proyecto",,
"Project task relation type","Tipo de relación de tarea del proyecto",,
"Project task relation types","Tipos de relación de tarea del proyecto",,
"Project task relations","Relaciones de tarea del proyecto",,
"Project task to link","Tarea del proyecto a vincular",,
"Project tasks","Tareas del proyecto",,
"Project template","Plantilla de proyecto",,
"Project template filters","Filtros de plantilla de proyecto",,
"Project templates","Plantillas de proyecto",,
"Project time unit","Unidad de tiempo del proyecto",,
"Project version","Versión del proyecto",,
"Project, project task and parent can not be null together.","El proyecto, la tarea del proyecto y el padre no pueden ser nulos al mismo tiempo.",,
"Project.Resource","Recursos",,
"Project.version","Versión",,
"Project.versions","Versiones",,
"Project/Business (Project)","Proyecto / Negocio",,
"Projects","Proyectos",,
"Projects and resources management","Gestión de proyectos y recursos",,
"Quantity","Cantidad",,
"Related Tasks","Tareas relacionadas",,
"Related task","Tarea relacionada",,
"Remove lines","Eliminar líneas",,
"Remove status","Eliminar estado",,
"Remove task status","Eliminar estado de tarea",,
"Reporting","Informes",,
"Reportings","Informes",,
"Reset","Restablecer",,
"Resource","Recurso",,
"Resource booking","Reserva de recurso",,
"Resource bookings","Reservas de recursos",,
"Resource management","Gestión de recursos",,
"Resource type","Tipo de recurso",,
"Resource types","Tipos de recurso",,
"Resources","Recursos",,
"Roadmap","Hoja de ruta",,
"Select","Seleccionar",,
"Select Projects","Proyectos",,
"Select Users","Usuarios",,
"Select an existing project task link type","Seleccionar un tipo de enlace de tarea de proyecto existente",,
"Select an opposite link type","Seleccionar un tipo de enlace opuesto",,
"Select values","Seleccionar valores",,
"Sequence","Secuencia",,
"Serial/batch number","N.° de serie/lote",,
"Show sub-projects","Mostrar subproyectos",,
"Site","Sitio",,
"Sites","Sitios",,
"Spent time","Tiempo empleado",,
