"key","message","comment","context"
"#,###.00","#,###.00","",""
"${fullName} variants","${fullName} variants","",""
"%D : Day","%D : Day","",""
"%FM : Full Month (01, 02, 03, ...)","%FM : Full Month (01, 02, 03, ...)","",""
"%M : Month (1, 2, 3, ...)","%M : Month (1, 2, 3, ...)","",""
"%WY : Week number","%WY : Week number","",""
"%YY : Year (17)","%YY : Year (17)","",""
"%YYYY : Full Year (2017)","%YYYY : Full Year (2017)","",""
"%d anomalies.","%d anomalies.","",""
"%d anomaly.","%d anomaly.","",""
"%d record processed successfully,","%d record processed successfully,","",""
"%d records processed successfully,","%d records processed successfully,","",""
"%s : Path to Birt template is incorrect","%s : Path to Birt template is incorrect","",""
"%s : Please, configure a currency for the company %s","%s : Please, configure a currency for the company %s","",""
"%s SIRET Number required. Please configure SIRET Number for partner %s","%s SIRET Number required. Please configure SIRET Number for partner %s","",""
"%s address processed","%s address processed","",""
"%s addresses processed","%s addresses processed","",""
"%s cell is not valid.","%s cell is not valid.","",""
"%s configuration file is not exist.","%s configuration file is not exist.","",""
"%s file not found in %s.","%s file not found in %s.","",""
"%s files imported","%s files imported","",""
"%s module does not exist.","%s module does not exist.","",""
"%s row must not be empty.","%s row must not be empty.","",""
"%s translation(s) successfully added.","%s translation(s) successfully added.","",""
"%s user processed","%s user processed","",""
"%s users processed","%s users processed","",""
"%s was not found in the standard application.","%s was not found in the standard application.","",""
"'%s' field for '%s' is invalid.","'%s' field for '%s' is invalid.","",""
"'OneToMany' and 'ManyToMany' fields doesn't allowed","'OneToMany' y 'ManyToMany' fields doesn't allowed","",""
"'OneToMany' field doesn't allowed","'OneToMany' field doesn't allowed","",""
"(AUX)","(AUX)","",""
"(L')","(L')","",""
"(LA)","(LA)","",""
"(LE)","(LE)","",""
"(LES)","(LES)","",""
"(LOS)","(LOS)","",""
"* %s anomaly(ies)","* %s anomaly(ies)","",""
"- Not null :","- no null :","",""
"- Succeeded :","- Succeeded :","",""
". Using those keys will result in a Invalid private key error",". Using those keys will result in a Inválido private key Error","",""
"00","00","",""
"01","01","",""
"02","02","",""
"03","03","",""
"04","04","",""
"05","05","",""
"06","06","",""
"07","07","",""
"08","08","",""
"09","09","",""
"1","1","",""
"1 Month","1 Mes","",""
"1 Year","1 Año","",""
"10","10","",""
"11","11","",""
"12","12","",""
"13","13","",""
"14","14","",""
"15","15","",""
"16","16","",""
"17","17","",""
"18","18","",""
"19","19","",""
"1st Period From","1st Período Desde","",""
"2","2","",""
"2 Months","2 Months","",""
"20","20","",""
"21","21","",""
"22","22","",""
"23","23","",""
"24","24","",""
"25","25","",""
"26","26","",""
"27","27","",""
"28","28","",""
"2nd Period From","2nd Período Desde","",""
"3","3","",""
"3 Months","3 Months","",""
"4","4","",""
"5","5","",""
"6","6","",""
"6 Months","6 Months","",""
"7","7","",""
"8","8","",""
"9","9","",""
"<","<","",""
"<><Badge bg=""warning"">Alias are mandatory inside the jpql queries</Badge></>","<><Badge bg=""Advertencia"">Alias are Obligatorio inside the jpql queries</Badge></>","",""
"<><Badge bg=""warning"">Invalid IBAN</Badge></>","<><Badge bg=""Advertencia"">Inválido IBAN</Badge></>","",""
"<><Badge bg=""warning"">Please add an invoice address and a delivery address by default.</Badge></>","<><Badge bg=""Advertencia"">Please Agregar an Factura Dirección y a Entrega Dirección by Por defecto.</Badge></>","",""
"<><Badge bg=""warning"">There is already a contact with this name.</Badge></>","<><Badge bg=""Advertencia"">There is already a Contacto with this Nombre.</Badge></>","",""
"<><Badge bg=""warning"">There is already a partner with this name.</Badge></>","<><Badge bg=""Advertencia"">There is already a Socio/Contacto with this Nombre.</Badge></>","",""
"<B>%s</B> not found","<B>%s</B> not found","",""
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","",""
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa fa-google' href='http://www.google.com' target='_blank' />","",""
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","",""
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","",""
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","",""
"<br/>Example:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>","<br/>Example:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>","",""
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","",""
"=","=","",""
">",">","",""
"A partner cannot be both a contact and a customer, supplier, or prospect.","A Socio/Contacto cannot be both a Contacto y a Cliente, Proveedor, or prospect.","",""
"A partner cannot be both a customer and a prospect.","A Socio/Contacto cannot be both a Cliente y a prospect.","",""
"A product of type service can't be procured from stock.","A Producto of Tipo service can't be procured Desde Stock/Inventario.","",""
"A user with this login already exists.","A Usuario with this login ya existe.","",""
"A wizard already exists for this sharing referential.","A wizard ya existe para this sharing referential.","",""
"A.T.I. by default","A.T.I. by Por defecto","",""
"ABC Analysis","ABC Analysis","",""
"ABC Analysis N°","ABC Analysis N°","",""
"ABC Analysis line","ABC Analysis Línea","",""
"ABC Analysis lines","ABC Analysis Líneas","",""
"ABC Classes","ABC Classes","",""
"ABC class","ABC class","",""
"ABC classes","ABC classes","",""
"API Sirene configuration","API Sirene Configuración","",""
"ARTMIN","ARTMIN","",""
"AZTEC","AZTEC","",""
"AbcAnalysis.analysisResult","Analysis result","",""
"AbcAnalysis.company","Empresa: ","",""
"AbcAnalysis.createdBy","Creado por: ","",""
"AbcAnalysis.description","Descripción: ","",""
"AbcAnalysisLine.category","Categoría","",""
"AbcAnalysisLine.class","Class","",""
"AbcAnalysisLine.code","Código","",""
"AbcAnalysisLine.cumulatedQty","Cumulated qty","",""
"AbcAnalysisLine.cumulatedWorth","Cumulated worth","",""
"AbcAnalysisLine.name","Nombre","",""
"AbcAnalysisLine.qty","Qty","",""
"AbcAnalysisLine.worth","Worth","",""
"Access to model fields","Access to model fields","",""
"Account Number","Cuenta Número","",""
"Account config","Cuenta config","",""
"Account management","Cuenta management","",""
"Account management filters","Cuenta management filters","",""
"Account management list","Cuenta management Lista","",""
"Account managements","Cuenta managements","",""
"Account moves","Cuenta Asientos","",""
"Accounting","Accounting","",""
"Accounting Exports","Accounting Exports","",""
"Accounting family","Accounting family","",""
"Accounting situations","Accounting situations","",""
"Accounts Configurations","Cuentas Configurations","",""
"Accounts configuration","Cuentas Configuración","",""
"Acid retention","Acid retention","",""
"Action","Action","",""
"Action does not exists or invalid for the object(%s)","Action does not exists or invalid for the object(%s)","",""
"Action name cannot be null.","Action Nombre cannot be null.","",""
"Actions","Actions","",""
"Activate bar code generation for products","Activar bar Código generation para Productos","",""
"Activate changes shortcut for","Activar changes shortcut para","",""
"Activate partner delegations","Activar Socio/Contacto delegations","",""
"Activate sending email","Activar sending Correo electrónico","",""
"Activate the instance information shortcut","Activar the instance Información shortcut","",""
"Activation","Activation","",""
"Active","Activo","",""
"Active Team","Activo Equipo","",""
"Active company","Activo Empresa","",""
"Active company changed to %s","Active company changed to %s","",""
"Active trading name","Activo trading Nombre","",""
"Active users","Activo Usuarios","",""
"Add Guests","Agregar Guests","",""
"Add a control entry","Agregar a control entry","",""
"Add a control plan","Agregar a control Planificar","",""
"Add a period","Agregar a Período","",""
"Address","Dirección","",""
"Address Field is missing : %s","Address Field is missing : %s","",""
"Address Template","Dirección Plantilla","",""
"Address Template Line","Dirección Plantilla Línea","",""
"Address Template Lines","Dirección Plantilla Líneas","",""
"Address certified by QAS engine","Dirección certified by QAS engine","",""
"Address created","Dirección Creado","",""
"Address details","Dirección Detalles","",""
"Address field","Dirección field","",""
"Address field to be used to obtain the entity's address details.","Dirección field to be used to obtain the entity's Dirección Detalles.","",""
"Address filters","Dirección filters","",""
"Address found","Dirección found","",""
"Address line 2 template","Dirección Línea 2 Plantilla","",""
"Address line 3 template","Dirección Línea 3 Plantilla","",""
"Address line 4 template","Dirección Línea 4 Plantilla","",""
"Address line 5 template","Dirección Línea 5 Plantilla","",""
"Address line 6 template","Dirección Línea 6 Plantilla","",""
"Address list","Dirección Lista","",""
"Address position","Dirección Cargo","",""
"Address precisions","Dirección precisions","",""
"Address template","Dirección Plantilla","",""
"Address template lines","Dirección Plantilla Líneas","",""
"Address templates","Dirección Plantillas","",""
"Address type","Dirección Tipo","",""
"Addresses","Addresses","",""
"Addresses validation","Addresses validation","",""
"Adjust History","Adjust Historial","",""
"Adjust period","Adjust Período","",""
"Adjusting","Adjusting","",""
"Administration","Administración","",""
"Advance Fields Export","Anticipo Fields Exportar","",""
"Advance import","Anticipo Importar","",""
"Advanced Export","Avanzado Exportar","",""
"Advanced export","Avanzado Exportar","",""
"Advanced export line","Avanzado Exportar Línea","",""
"Advanced export lines","Avanzado Exportar Líneas","",""
"Advanced exports","Avanzado exports","",""
"Advanced import","Avanzado Importar","",""
"Advanced import is not validated","Avanzado Importar is no Validado","",""
"Advanced imports","Avanzado imports","",""
"Advanced print templates","Avanzado Imprimir Plantillas","",""
"Advanced synchronization","Avanzado synchronization","",""
"Agencies","Agencies","",""
"Alert expression type","Alerta expression Tipo","",""
"All","Todos","",""
"All Actions","Todos Actions","",""
"All Clients","Todos Clients","",""
"All Countries","Todos Countries","",""
"All Employees","Todos Empleados","",""
"All Enterprises","Todos Enterprises","",""
"All Individuals","Todos Individuals","",""
"All Mailing lists","Todos Mailing lists","",""
"All MetaField seem to be existing.","Todos MetaField seem to be existing.","",""
"All MetaModel seem to be existing.","Todos MetaModel seem to be existing.","",""
"All Prospects","Todos Prospects","",""
"All Suppliers","Todos Proveedores","",""
"All Views","Todos Views","",""
"All clients","Todos clients","",""
