"key","message","comment","context"
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>Correspondencia para la consulta :<br>Nombre -> :firstName <br>Apellido -> :lastName <br>Email -> :email <br>Teléfono -> :phone <br>",,
"A replacement object is missing for model %s.","Falta un objeto de reemplazo para el modelo %s.",,
"Access","Acceso",,
"Activate","Activar",,
"Active","Activo",,
"Anonymization result","Resultado de la anonimización",,
"App","Aplicación",,
"App GDPR","Aplicación RGPD",,
"App gdpr","Aplicación RGPD",,
"Archive","Archivar",,
"Archive data","Archivar datos",,
"Are you sure to cancel the request ?","¿Está seguro de que desea cancelar la solicitud?",,
"Are you sure to confirm the request ?","¿Está seguro de que desea confirmar la solicitud?",,
"Can not find object.","No se puede encontrar el objeto.",,
"Cancel","Cancelar",,
"Canceled","Cancelado",,
"Code","Código",,
"Comment","Comentario",,
"Configurations","Configuraciones",,
"Configure how the app will search the datas","Configurar cómo la aplicación buscará los datos",,
"Configure request origins","Configurar los orígenes de las solicitudes",,
"Confirm","Confirmar",,
"Confirmed","Confirmado",,
"Data file","Archivo de datos",,
"Data processed","Datos procesados",,
"Datas to exclude configuration","Configuración de datos a excluir",,
"Description","Descripción",,
"Draft","Borrador",,
"Due sending date","Fecha límite de envío",,
"Elements to be excluded from the access request","Elementos a excluir de la solicitud de acceso",,
"Email","Email",,
"Email template for access request response","Plantilla de email para respuesta a solicitud de acceso",,
"Email template for erasure request response","Plantilla de email para respuesta a solicitud de supresión",,
"Email template to send when responding to an access request.","Plantilla de email a enviar al responder a una solicitud de acceso.",,
"Email template to send when responding to an erasure request.","Plantilla de email a enviar al responder a una solicitud de supresión.",,
"Erasure","Supresión",,
"Error occurred","Se ha producido un error",,
"Error while sending the mail : %s","Error al enviar el correo : %s",,
"Field %s of model %s has not been anonymized. Please check manually.","El campo %s del modelo %s no ha sido anonimizado. Por favor, verifique manualmente.",,
"Field displayed in the result of the research","Campo mostrado en el resultado de la búsqueda",,
"Fields","Campos",,
"First name","Nombre",,
"GDPR","RGPD",,
"GDPR Processing Register Log","Registro de tratamiento RGPD",,
"GDPR Request","Solicitud RGPD",,
"GDPR app","Aplicación RGPD",,
"GDPR erasure log","Registro de supresión RGPD",,
"GDPR erasure logs","Registros de supresión RGPD",,
"GDPR processing register log","Registro del registro de tratamiento",,
"GDPR processing register logs","Registros del registro de tratamiento",,
"GDPR processing registers","Registros de tratamiento",,
"GDPR search configuration","Configuración de búsqueda RGPD",,
"GDPR search configuration lines","Líneas de configuración de búsqueda RGPD",,
"GDPRRequest.title","Solicitud",,
"Gdpr processing register log list","Lista de registros del registro de tratamiento",,
"Gdpr processing register rule list","Lista de reglas del registro de tratamiento",,
"Indicate which date should be verified. If one of the date is after the retention date, the data will not be archived.","Indique qué fecha debe verificarse. Si alguna de las fechas es posterior a la fecha de retención, los datos no serán archivados.",,
"JPQL filter to add to the query","Filtro JPQL a añadir a la consulta",,
"Key","Clave",,
"Label","Etiqueta",,
"Last name","Apellido",,
"Lead","Cliente potencial",,
"Mapping","Correspondencia",,
"Maximum days to respond","Días máximos para responder",,
"Maximum number of days to respond to a request.","Número máximo de días para responder a una solicitud.",,
"Meta model","Meta modelo",,
"Missing response email address","Falta la dirección de email para la respuesta",,
"Model","Modelo",,
"Model %s has been anonymized using the anonymizer %s.","El modelo %s ha sido anonimizado usando el anonimizador %s.",,
"Model id","ID del modelo",,
"Model log","Registro del modelo",,
"Model to search","Modelo a buscar",,
"Models","Modelos",,
"Name","Nombre",,
"Name of the key for the search engine","Nombre de la clave para el motor de búsqueda",,
"No anonymizer found in app GDPR configuration.","No se encontró anonimizador en la configuración de la aplicación RGPD.",,
"Number of records","Número de registros",,
"Partner","Tercero",,
"Phone","Teléfono",,
"Please configure a mail template for access request response.","Por favor, configure una plantilla de correo para la respuesta a la solicitud de acceso.",,
"Please configure a mail template for erasure request response.","Por favor, configure una plantilla de correo para la respuesta a la solicitud de supresión.",,
"Please enter at least one field.","Por favor, introduzca al menos un campo.",,
"Please select a line","Por favor, seleccione una línea",,
"Please select at least a pseudonymizer and/or choose to archive the data.","Por favor, seleccione al menos un seudonimizador y/o elija archivar los datos.",,
"Please select only one line","Por favor, seleccione solo una línea",,
"Processed finished","Procesamiento finalizado",,
"Processing date","Fecha de tratamiento",,
"Processing register","Registro de tratamiento",,
"Processing register - Archiving","Registro de tratamiento - Archivado",,
"Processing register rule","Regla del registro de tratamiento",,
"Processing register rules","Reglas del registro de tratamiento",,
"Pseudonymizer","Seudonimizador",,
"Pseudonymizer template to use when pseudonymizing datas.","Plantilla de seudonimizador a utilizar al seudonimizar datos.",,
"Query","Consulta",,
"Received","Recibido",,
"Reference","Referencia",,
"Register created","Registro creado",,
"Relationship Anonymizer","Anonimizador de relación",,
"Relationship anonymizer","Anonimizador de relación",,
"Request date","Fecha de solicitud",,
"Request origin","Origen de la solicitud",,
"Requests","Solicitudes",,
"Requests origin","Origen de las solicitudes",,
"Requests origins","Orígenes de las solicitudes",,
"Response","Respuesta",,
"Response email address","Dirección de email para la respuesta",,
"Response message","Mensaje de respuesta",,
"Restore","Restaurar",,
"Results","Resultados",,
"Retention period (in months)","Período de retención (en meses)",,
"Rule","Regla",,
"Run process","Ejecutar proceso",,
"Search","Buscar",,
"Search configuration","Configuración de búsqueda",,
"Search configuration line","Línea de configuración de búsqueda",,
"Search configuration lines","Líneas de configuración de búsqueda",,
"Search configurations","Configuraciones de búsqueda",,
"Select fields to exclude from the access request response. Leave empty if all fields should be excluded.","Seleccione los campos a excluir de la respuesta a la solicitud de acceso. Deje vacío si todos los campos deben ser excluidos.",,
"Send Response","Enviar respuesta",,
"Sending date","Fecha de envío",,
"Sent","Enviado",,
"Status","Estado",,
"This field doesn't exist.","Este campo no existe.",,
"Type","Tipo",,
"com.axelor.apps.gdpr.job.ProcessingRegisterJob","com.axelor.apps.gdpr.job.ProcessingRegisterJob",,
"result","resultado",,
"value:GDPR","RGPD",,
